id,ano,produto,volume,linha,categoria_produto,subcategoria_produto,nivel_produto,eh_agregado
62,2017,  Vinho gaseificado,0,Outros,Vinho,Produto Final,3,False
1,2018,VINHO DE MESA,177186273,,Vinho,Vinho de Mesa,1,True
2,2018,  Tinto,155115499,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
3,2018,  Rosado,1972944,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
4,2018,  Branco,20097830,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
5,2018,VINHO  FINO DE MESA,14826143,,Vinho,Vinifera,1,True
6,2018,  Tinto,11150517,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
7,2018,  Rosado,262430,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
8,2018,  Branco,3413196,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
9,2018,VINHO FRIZANTE,1638337,,Vinho,Produto Final,3,False
10,2018,VINHO ORGÂNICO,0,,Vinho,Organico,3,False
11,2018,VINHO ESPECIAL,0,,Vinho,Especial,1,True
12,2018,  Tinto,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
13,2018,  Rosado,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
14,2018,  Branco,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
15,2018,ESPUMANTES ,18218375,,Espumante,Produto Final,3,False
16,2018,  Espumante  Moscatel,6526075,Espumantes,Espumante,Produto Final,3,False
17,2018,  Espumante,11692300,Espumantes,Espumante,Produto Final,3,False
18,2018,  Espumante Orgânico,0,Espumantes,Espumante,Produto Final,3,False
19,2018,SUCO DE UVAS,140472108,,Suco,Suco de Uva,1,True
20,2018,  Suco Natural Integral,0,Sucos,Suco,Suco de Uva,3,False
21,2018,  Suco Adoçado,0,Sucos,Suco,Suco de Uva,3,False
22,2018,  Suco Reprocessado/reconstituido,0,Sucos,Suco,Suco de Uva,3,False
23,2018,  Suco Orgânico,0,Sucos,Suco,Suco de Uva,3,False
24,2018,  Outros sucos de uvas,0,Sucos,Suco,Suco de Uva,3,False
25,2018,SUCO DE UVAS CONCENTRADO,23572263,,Suco,Suco de Uva,3,False
26,2018,OUTROS PRODUTOS COMERCIALIZADOS,31246158,,Outros,Outros Produtos,1,True
27,2018,  Outros vinhos (sem informação detalhada),3734763,Outros,Vinho,Produto Final,3,False
28,2018,"  Agrin (fermentado, acetico misto)",0,Outros,Derivados,Derivados Industriais,2,False
29,2018,  Aguardente de vinho 50°gl,0,Outros,Vinho,Produto Final,3,False
30,2018,  Alcool vinico,21575,Outros,Destilado,Produto Final,3,False
31,2018,  Bagaceira (graspa),6929,Outros,Destilado,Produto Final,3,False
32,2018,  Base champenoise champanha,74941,Outros,Espumante,Base,2,False
33,2018,  Base charmat champanha,287361,Outros,Espumante,Base,2,False
34,2018,  Base espumante moscatel,109200,Outros,Espumante,Base,2,False
35,2018,  Bebida de uva,10330,Outros,Suco,Suco de Uva,3,False
36,2018,  Borra líquida,11600,Outros,Derivados,Derivados Industriais,2,False
37,2018,  Borra seca,721280,Outros,Derivados,Derivados Industriais,2,False
38,2018,  Brandy (conhaque),4652,Outros,Destilado,Produto Final,3,False
39,2018,  Cooler,3091682,Outros,Outros,Bebidas Mistas,3,False
40,2018,  Coquetel com vinho,349836,Outros,Outros,Bebidas Mistas,3,False
41,2018,  Destilado de vinho,82,Outros,Vinho,Produto Final,3,False
42,2018,  Filtrado doce,3867645,Outros,Derivados,Derivados Industriais,2,False
43,2018,  Jeropiga,173,Outros,Mosto,Intermediario,2,False
44,2018,  Mistelas,1902,Outros,Mosto,Intermediario,2,False
45,2018,  Mosto concentrado,0,Outros,Mosto,Intermediario,2,False
46,2018,  Mosto de uva,715708,Outros,Mosto,Intermediario,2,False
47,2018,  Mosto sulfitado,0,Outros,Mosto,Intermediario,2,False
48,2018,  Nectar de uva,3517417,Outros,Suco,Suco de Uva,3,False
49,2018,  Outros produtos,1773526,Outros,Outros,Outros Produtos,1,True
50,2018,  Polpa de uva,1853162,Outros,Suco,Suco de Uva,3,False
51,2018,  Preparado líquido para refresco,76888,Outros,Suco,Suco de Uva,3,False
52,2018,  Refrigerante +50% suco,40574,Outros,Suco,Suco de Uva,3,False
53,2018,  Sangria,58498,Outros,Outros,Bebidas Mistas,3,False
54,2018,  Vinagre balsamico,133714,Outros,Derivados,Vinagre,3,False
55,2018,  Vinagre duplo,888589,Outros,Derivados,Vinagre,3,False
56,2018,  Vinagre simples,6994467,Outros,Derivados,Vinagre,3,False
57,2018,  Vinho acetificado,2158993,Outros,Derivados,Vinagre,3,False
58,2018,  Vinho base para espumantes,0,Outros,Vinho,Produto Final,3,False
59,2018,  Vinho composto,249165,Outros,Vinho,Produto Final,3,False
60,2018,  Vinho licoroso,491165,Outros,Vinho,Produto Final,3,False
61,2018,  Vinho leve,198,Outros,Vinho,Produto Final,3,False
62,2018,  Vinho gaseificado,143,Outros,Vinho,Produto Final,3,False
1,2019,VINHO DE MESA,180446489,,Vinho,Vinho de Mesa,1,True
2,2019,  Tinto,158519218,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
3,2019,  Rosado,1265435,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
